artist,album,label,release_year,reviewer,score,accolade,publish_date,url
Landed,How Little Will It Take, Load,2008,Marc Masters, 7.8 , ,2009-01-28,http://pitchfork.com/reviews/albums/12561-how-little-will-it-take/
JD Twitch,Mx6: Twitch's 60 Minutes of Fear, Rvng Intl.,2008,Philip Sherburne, 8.4 , ,2009-01-29,http://pitchfork.com/reviews/albums/12567-mx6-twitchs-60-minutes-of-fear-sleepwalk/
Dälek,Gutter Tactics, Ipecac,2009,Joe Tangari, 7.6 , ,2009-01-27,http://pitchfork.com/reviews/albums/12595-gutter-tactics/
Aether,Artifacts, Exponential,2008,Nate Patrin, 7.0 , ,2009-01-27,http://pitchfork.com/reviews/albums/12569-artifacts/
Chandeliers,The Thrush, Obey Your Brain,2008,Jason Crock, 6.4 , ,2009-01-27,http://pitchfork.com/reviews/albums/12570-the-thrush/
Susanna,Flower of Evil, Rune Grammofon,2008,Joshua Klein, 5.5 , ,2009-01-27,http://pitchfork.com/reviews/albums/12557-flower-of-evil/
Hot Chip,Hot Chip with Robert Wyatt and Geese, EMI,2008,Brian Howe, 7.7 , ,2009-01-28,http://pitchfork.com/reviews/albums/12615-hot-chip-with-robert-wyatt-and-geese/
Of Montreal,Jon Brion Remix EP, Polyvinyl,2009,Joshua Klein, 7.2 , ,2009-01-26,http://pitchfork.com/reviews/albums/12600-jon-brion-remix-ep-synecdoche-new-york-ost/
Johnson&Jonson,Johnson&Jonson, Tres,2008,Nate Patrin, 8.4 , ,2009-01-26,http://pitchfork.com/reviews/albums/12592-johnsonjonson/
LAKE,"Oh, the Places We'll Go", K,2008,Marc Hogan, 6.5 , ,2009-01-26,http://pitchfork.com/reviews/albums/12584-oh-the-places-well-go/
Michael Zapruder,Dragon Chinese Cocktail Horoscope, SideCho,2008,Joe Tangari, 6.3 , ,2009-01-26,http://pitchfork.com/reviews/albums/12562-dragon-chinese-cocktail-horoscope/
Bruce Springsteen,Working on a Dream, Columbia,2009,Stephen M. Deusner, 5.8 , ,2009-01-27,http://pitchfork.com/reviews/albums/12614-working-on-a-dream/
J. Tillman,Vacilando Territory Blues, Western Vinyl,2009,Stephen M. Deusner, 7.6 , ,2009-01-23,http://pitchfork.com/reviews/albums/12603-vacilando-territory-blues/
Kayhan Kalhor & Brooklyn Rider,Silent City, World Village,2008,Joe Tangari, 7.6 , ,2009-01-23,http://pitchfork.com/reviews/albums/12579-silent-city/
Van Dyke Parks / Inara George,An Invitation, Everloving,2008,Roque Strew, 7.5 , ,2009-01-23,http://pitchfork.com/reviews/albums/12586-an-invitation/
The Standard,Swimmer, Partisan,2008,Joshua Klein, 4.7 , ,2009-01-23,http://pitchfork.com/reviews/albums/12572-swimmer/
Franz Ferdinand,Tonight, Domino,2009,Stuart Berman, 7.3 , ,2009-01-26,http://pitchfork.com/reviews/albums/12609-tonight/
Squarepusher,Numbers Lucent EP, Warp,2009,Mike Orme, 6.5 , ,2009-01-22,http://pitchfork.com/reviews/albums/12604-numbers-lucent-ep/
Musée Mécanique,Hold This Ghost, Frog Stand,2008,Rebecca Raber, 7.2 , ,2009-01-22,http://pitchfork.com/reviews/albums/12564-hold-this-ghost/
White Hinterland,Luniculaire EP, Dead Oceans,2008,Roque Strew, 6.9 , ,2009-01-22,http://pitchfork.com/reviews/albums/12594-luniculaire-ep/
Ruby Isle,Night Shot, Kindercore,2008,Kasia Galazka, 5.5 , ,2009-01-22,http://pitchfork.com/reviews/albums/12559-night-shot/
Thom Yorke,The Eraser Rmxs, XL,2009,Ryan Dombal, 6.7 , ,2009-01-23,http://pitchfork.com/reviews/albums/12612-the-eraser-rmxs/
Matt & Kim,Grand, Fader,2009,Rebecca Raber, 7.3 , ,2009-01-21,http://pitchfork.com/reviews/albums/12593-grand/
An Albatross,The An Albatross Family Album, Eyeball,2008,D. Shawn Bosler, 7.5 , ,2009-01-21,http://pitchfork.com/reviews/albums/12574-the-an-albatross-family-album/
Pretty & Nice,Get Young, Hardly Art,2008,Rebecca Raber, 7.2 , ,2009-01-21,http://pitchfork.com/reviews/albums/12563-get-young/
Golden Animals,Free Your Mind and Win a Pony, HappyParts,2008,Joshua Klein, 6.1 , ,2009-01-21,http://pitchfork.com/reviews/albums/12571-free-your-mind-and-win-a-pony/
Andrew Bird,Noble Beast, Fat Possum,2009,Joe Tangari, 7.5 , ,2009-01-22,http://pitchfork.com/reviews/albums/12605-noble-beast/
Various Artists,Johnny Cash Remixed, Compadre,2009,Stephen M. Deusner, 0.2 , ,2009-01-20,http://pitchfork.com/reviews/albums/12589-johnny-cash-remixed/
Buraka Som Sistema,Black Diamond, Enchufada,2008,Tom Ewing, 7.9 , ,2009-01-20,http://pitchfork.com/reviews/albums/12577-black-diamond/
Boduf Songs,How Shadows Chase The Balance, Kranky,2008,Amy Granzin, 7.6 , ,2009-01-20,http://pitchfork.com/reviews/albums/12578-how-shadows-chase-the-balance/
Daniel Martin Moore,Stray Age, Sub Pop,2008,Matthew Murphy, 5.7 , ,2009-01-20,http://pitchfork.com/reviews/albums/12588-stray-age/
A.C. Newman,Get Guilty, Matador,2009,Eric Harvey, 7.5 , ,2009-01-21,http://pitchfork.com/reviews/albums/12590-get-guilty/
Thievery Corporation,Radio Retaliation, Eighteenth Street Lounge,2008,Mark Pytlik, 2.6 , ,2009-01-19,http://pitchfork.com/reviews/albums/12602-radio-retaliation/
Herman Dune,1-2-3/Apple Tree EP, Everloving,2008,Stephen M. Deusner, 7.6 , ,2009-01-19,http://pitchfork.com/reviews/albums/12583-1-2-3apple-tree-ep-next-year-in-zion/
These Arms Are Snakes,Tail Swallower & Dove, Suicide Squeeze,2008,Jason Crock, 6.4 , ,2009-01-19,http://pitchfork.com/reviews/albums/12585-tail-swallower-dove/
Sparks,Exotic Creatures of the Deep, Lil' Beethoven,2008,Douglas Wolk, 4.4 , ,2009-01-19,http://pitchfork.com/reviews/albums/12575-exotic-creatures-of-the-deep/
Bon Iver,Blood Bank EP, Jagjaguwar,2009,Amanda Petrusich, 7.9 , ,2009-01-20,http://pitchfork.com/reviews/albums/12581-blood-bank-ep/
EPMD,We Mean Business, EP,2008,Ian Cohen, 6.6 , ,2009-01-16,http://pitchfork.com/reviews/albums/12591-we-mean-business/
Polysics,We Ate the Machine, MySpace,2008,Mike Orme, 6.9 , ,2009-01-16,http://pitchfork.com/reviews/albums/12568-we-ate-the-machine/
The Gourds,Haymaker!, Yep Roc,2009,Stephen M. Deusner, 7.5 , ,2009-01-16,http://pitchfork.com/reviews/albums/12587-haymaker/
Cranes,Cranes, Dadaphonic,2008,Mia Clarke, 7.2 , ,2009-01-16,http://pitchfork.com/reviews/albums/12576-cranes/
Antony and the Johnsons,The Crying Light, Secretly Canadian,2009,Marc Masters, 8.6 , Best New Music ,2009-01-19,http://pitchfork.com/reviews/albums/12596-the-crying-light/
Nodzzz,Nodzzz, What's Your Rupture?,2008,Joe Colly, 7.6 , ,2009-01-15,http://pitchfork.com/reviews/albums/12598-nodzzz/
Various Artists,Titan: It's All Pop!, Numero Group,2008,Joe Tangari, 8.0 , ,2009-01-15,http://pitchfork.com/reviews/albums/12566-titan-its-all-pop/
Dub Colossus,A Town Called Addis, Realworld,2008,Joshua Klein, 7.6 , ,2009-01-15,http://pitchfork.com/reviews/albums/12582-a-town-called-addis/
People Under the Stairs,Fun DMC, Gold Dust Media,2008,Roque Strew, 7.6 , ,2009-01-15,http://pitchfork.com/reviews/albums/12565-fun-dmc/
My Morning Jacket,Live from Las Vegas at the Palms, iTunes,2009,Joshua Klein, 7.0 , ,2009-01-16,http://pitchfork.com/reviews/albums/12601-live-from-las-vegas-at-the-palms/
Late of the Pier,Fantasy Black Channel, Parlophone,2008,Adam Moerder, 6.7 , ,2009-01-14,http://pitchfork.com/reviews/albums/12555-fantasy-black-channel/
Scarface,Emeritus, Rap-A-Lot,2008,Ian Cohen, 8.0 , ,2009-01-14,http://pitchfork.com/reviews/albums/12537-emeritus/
Mason Proper,Olly Oxen Free, Dovecote,2008,Joshua Klein, 6.9 , ,2009-01-14,http://pitchfork.com/reviews/albums/12530-olly-oxen-free/
Einstürzende Neubauten,Jewels, Potomak,2008,Roque Strew, 7.6 , ,2009-01-14,http://pitchfork.com/reviews/albums/12552-jewels/
Glasvegas,Glasvegas, Potomak,2008,Scott Plagenhoef, 6.0 , ,2009-01-15,http://pitchfork.com/reviews/albums/12597-glasvegas/
A Guy Called Gerald,Black Secret Technology, Juice Box,1995,Tim Finney, 8.7 , ,2009-01-13,http://pitchfork.com/reviews/albums/12523-black-secret-technology/
Charlie Louvin,Steps to Heaven, Tompkins Square,2008,Stephen M. Deusner, 7.3 , ,2009-01-13,http://pitchfork.com/reviews/albums/12534-steps-to-heaven-charlie-louvin-sings-murder-ballads-and-disaster-songs/
Neil Halstead,Oh! Mighty Engine, Brushfire,2008,Nitsuh Abebe, 5.9 , ,2009-01-13,http://pitchfork.com/reviews/albums/12549-oh-mighty-engine/
Army Navy,Army Navy, Fever Zone,2008,Jayson Greene, 7.8 , ,2009-01-13,http://pitchfork.com/reviews/albums/12522-army-navy/
Zomby,Where Were U in 92?, Werk Discs,2008,Nate Patrin, 8.3 , ,2009-01-14,http://pitchfork.com/reviews/albums/12543-where-were-u-in-92/
Metro Area,Fabric 43, Fabric,2008,Jess Harvell, 6.9 , ,2009-01-12,http://pitchfork.com/reviews/albums/12551-fabric-43/
Various Artists,"Living Is Hard: West African Music in Britain, 1927-1929", Honest Jon's,2008,Joe Tangari, 8.0 , ,2009-01-12,http://pitchfork.com/reviews/albums/12535-living-is-hard-west-african-music-in-britain-1927-1929/
Move D and Benjamin Brunn,Songs from the Beehive, Smallville,2008,Andrew Gaerig, 8.1 , ,2009-01-12,http://pitchfork.com/reviews/albums/12539-songs-from-the-beehive/
Caithlin De Marrais,My Magic City, End Up,2008,Ben Westhoff, 6.8 , ,2009-01-12,http://pitchfork.com/reviews/albums/12521-my-magic-city/
The Kinks,Picture Book, Sanctuary,2008,Joe Tangari, 7.3 , ,2009-01-13,http://pitchfork.com/reviews/albums/12554-picture-book/
Lemonade,Lemonade, True Panther,2008,Stuart Berman, 8.3 , ,2009-01-09,http://pitchfork.com/reviews/albums/12542-lemonade/
Pelle Carlberg,The Lilac Time, Labrador,2008,Stephen M. Deusner, 6.2 , ,2009-01-09,http://pitchfork.com/reviews/albums/12538-the-lilac-time/
Her Space Holiday,"XOXO, Panda and the New Kid Revival", Mush,2008,Ian Cohen, 6.0 , ,2009-01-09,http://pitchfork.com/reviews/albums/12445-xoxo-panda-and-the-new-kid-revival/
Au Revoir Simone,Reverse Migration, Mush,2008,Joe Colly, 3.2 , ,2009-01-09,http://pitchfork.com/reviews/albums/12550-reverse-migration/
Jose Gonzalez,Live at Park Avenue EP, ThinkIndie,2008,Marc Hogan, 7.7 , ,2009-01-12,http://pitchfork.com/reviews/albums/12553-live-at-park-avenue-ep/
Marianne Faithfull,Easy Come Easy Go, Naïve,2008,Stephen M. Deusner, 7.5 , ,2009-01-08,http://pitchfork.com/reviews/albums/12548-easy-come-easy-go/
Terakaft,Akh Issudar, World Village,2008,Joe Tangari, 7.8 , ,2009-01-08,http://pitchfork.com/reviews/albums/12525-akh-issudar/
Matthew Robert Cooper,Miniatures, Gaarden,2008,Brian Howe, 7.2 , ,2009-01-08,http://pitchfork.com/reviews/albums/12526-miniatures/
Gregory and the Hawk,Moenie and Kitchi, Fat Cat,2008,Joshua Klein, 4.4 , ,2009-01-08,http://pitchfork.com/reviews/albums/12529-moenie-and-kitchi/
Fripp & Eno,No Pussyfooting, Island,1973,Brian Howe, 7.9 , ,2009-01-09,http://pitchfork.com/reviews/albums/12546-no-pussyfooting-evening-star/
Various Artists,Slumdog Millionaire OST, N.E.E.T.,2008,Joshua Klein, 7.4 , ,2009-01-07,http://pitchfork.com/reviews/albums/12541-slumdog-millionaire-ost/
Wreckless Eric & Amy Rigby,Wreckless Eric & Amy Rigby, Stiff,2008,Stephen M. Deusner, 6.9 , ,2009-01-07,http://pitchfork.com/reviews/albums/12532-wreckless-eric-amy-rigby/
All the Saints,Fire on Corridor X, Killer Pimp,2008,Stuart Berman, 7.0 , ,2009-01-07,http://pitchfork.com/reviews/albums/12533-fire-on-corridor-x/
Don Caballero,Punkgasm, Relapse,2008,Brian Howe, 4.8 , ,2009-01-07,http://pitchfork.com/reviews/albums/12527-punkgasm/
DJ Shadow,The 4-Track Era Bundle, Relapse,2008,Nate Patrin, 8.7 , Best New Reissue ,2009-01-08,http://pitchfork.com/reviews/albums/12547-the-4-track-era-bundle/
Black Rebel Motorcycle Club,The Effects of 333, Abstract Dragon,2008,Ian Cohen, 0.4 , ,2009-01-06,http://pitchfork.com/reviews/albums/12544-the-effects-of-333/
Otis Redding,Live in London and Paris, Stax,2008,Stephen M. Deusner, 8.0 , ,2009-01-06,http://pitchfork.com/reviews/albums/12531-live-in-london-and-paris/
Jolie Holland,The Living and the Dead, Anti-,2008,Mike McGonigal, 7.8 , ,2009-01-06,http://pitchfork.com/reviews/albums/12528-the-living-and-the-dead/
DM Stith,Curtain Speech EP, Asthmatic Kitty,2008,Stephen M. Deusner, 6.6 , ,2009-01-06,http://pitchfork.com/reviews/albums/12536-curtain-speech-ep/
Paper Route Gangstaz,Diplo & Benzi Present: Fear & Loathing in Hunts Vegas, Paper Route,2008,Tom Breihan, 7.8 , ,2009-01-07,http://pitchfork.com/reviews/albums/12545-diplo-benzi-present-fear-loathing-in-hunts-vegas/
Various Artists,Zang Tumb Tuum: The ZTT Box Set, ZTT,2008,Tom Ewing, 5.1 , ,2009-01-05,http://pitchfork.com/reviews/albums/12519-zang-tumb-tuum-the-ztt-box-set/
Friendly Fires,Friendly Fires, XL,2008,Mia Clarke, 7.9 , ,2009-01-05,http://pitchfork.com/reviews/albums/12511-friendly-fires/
The Aliens,Luna, Pet Rock,2008,Joe Tangari, 5.6 , ,2009-01-05,http://pitchfork.com/reviews/albums/12514-luna/
Ludacris,Theater of the Mind, Disturbing Tha Peace,2008,Ian Cohen, 5.3 , ,2009-01-05,http://pitchfork.com/reviews/albums/12517-theater-of-the-mind/
Ghostface Killah,GhostDeini the Great, Def Jam,2008,Nate Patrin, 5.3 , ,2009-01-06,http://pitchfork.com/reviews/albums/12540-ghostdeini-the-great/
Nina Simone,To Be Free: The Nina Simone Story, Legacy,2008,Chris Dahlen, 9.2 , ,2008-12-12,http://pitchfork.com/reviews/albums/12516-to-be-free-the-nina-simone-story/
Christina Carter,Original Darkness, Kranky,2008,Marc Masters, 7.9 , ,2008-12-12,http://pitchfork.com/reviews/albums/12512-original-darkness/
Various Artists,Give Me Love: Songs of the Brokenhearted - Baghdad 1925-1929, Honest Jon's,2008,Joe Tangari, 8.6 , ,2008-12-12,http://pitchfork.com/reviews/albums/12510-give-me-love-songs-of-the-brokenhearted-baghdad-1925-1929/
Ane Brun,Changing of the Seasons, Cheap Lullaby,2008,Mark Pytlik, 5.2 , ,2008-12-12,http://pitchfork.com/reviews/albums/12513-changing-of-the-seasons/
Animal Collective,Merriweather Post Pavilion, Domino,2009,Mark Richardson, 9.6 , Best New Music ,2009-01-05,http://pitchfork.com/reviews/albums/12518-merriweather-post-pavilion/
Roy Orbison,The Soul of Rock And Roll, Monument,2008,Stephen M. Deusner, 8.6 , ,2008-12-11,http://pitchfork.com/reviews/albums/12474-the-soul-of-rock-and-roll/
The Welcome Wagon,Welcome to the Welcome Wagon, Asthmatic Kitty,2008,Amanda Petrusich, 7.9 , ,2008-12-11,http://pitchfork.com/reviews/albums/12506-welcome-to-the-welcome-wagon/
Various Artists,I'll Stay 'Til After Christmas, AWR,2008,Marc Hogan, 6.8 , ,2008-12-11,http://pitchfork.com/reviews/albums/12509-ill-stay-til-after-christmas/
The Uglysuit,The Uglysuit, Quarterstick,2008,Rebecca Raber, 4.8 , ,2008-12-11,http://pitchfork.com/reviews/albums/12475-the-uglysuit/
The Flaming Lips,Christmas on Mars, Warner Bros.,2008,Stuart Berman, 7.1 , ,2008-12-12,http://pitchfork.com/reviews/albums/12515-christmas-on-mars/
Common,Universal Mind Control, Geffen,2008,Brian Howe, 2.8 , ,2008-12-10,http://pitchfork.com/reviews/albums/12508-universal-mind-control/
Barbara Morgenstern,BM, Monika,2008,Joe Colly, 7.8 , ,2008-12-10,http://pitchfork.com/reviews/albums/12488-bm/
Various Artists,1970's Algerian Proto-Raï Underground, Sublime Frequencies,2008,Joshua Klein, 7.5 , ,2008-12-10,http://pitchfork.com/reviews/albums/12487-1970s-algerian-proto-rai-underground/
Restiform Bodies,TV Loves You Back, Anticon,2008,Roque Strew, 7.1 , ,2008-12-10,http://pitchfork.com/reviews/albums/12491-tv-loves-you-back/
Clipse,Road to Till the Casket Drops, self-released,2008,Tom Breihan, 7.6 , ,2008-12-11,http://pitchfork.com/reviews/albums/12496-road-to-till-the-casket-drops/
Mark Kozelek,The Finally LP, Caldo Verde,2008,Stephen M. Deusner, 7.3 , ,2008-12-09,http://pitchfork.com/reviews/albums/12492-the-finally-lp/
Boston Spaceships,Brown Submarine," Guided By Voices, Inc.",2008,Paul Thompson, 7.1 , ,2008-12-09,http://pitchfork.com/reviews/albums/12490-brown-submarine/
Simon Bookish,Everything/Everything, Tomlab,2008,Matthew Solarski, 7.7 , ,2008-12-09,http://pitchfork.com/reviews/albums/12480-everythingeverything/
Japanese Motors,Japanese Motors, Vice,2008,Adam Moerder, 3.8 , ,2008-12-09,http://pitchfork.com/reviews/albums/12486-japanese-motors/
Pavement,Brighten the Corners: Nicene Creedence Ed., Matador,1997,Stuart Berman, 8.7 , ,2008-12-10,http://pitchfork.com/reviews/albums/12499-brighten-the-corners-nicene-creedence-ed/
Cat Power,Dark End of the Street EP, Matador,2008,Joshua Love, 3.8 , ,2008-12-08,http://pitchfork.com/reviews/albums/12504-dark-end-of-the-street-ep/
Alaska in Winter,Holiday, Milan,2008,Brian Howe, 7.8 , ,2008-12-08,http://pitchfork.com/reviews/albums/12494-holiday/
Hush Arbors,Hush Arbors, Ecstatic Peace,2008,Mia Lily Clarke, 7.5 , ,2008-12-08,http://pitchfork.com/reviews/albums/12524-hush-arbors/
Grampall Jookabox,Ropechain, Asthmatic Kitty,2008,Eric Harvey, 5.4 , ,2008-12-08,http://pitchfork.com/reviews/albums/12481-ropechain/
Justice,A Cross the Universe, Atlantic,2008,Nate Patrin, 6.5 , ,2008-12-09,http://pitchfork.com/reviews/albums/12493-a-cross-the-universe/
Neil Young,Sugar Mountain: Live at Canterbury House 1968, Reprise,2008,Marc Masters, 8.0 , ,2008-12-05,http://pitchfork.com/reviews/albums/12497-sugar-mountain-live-at-canterbury-house-1968/
The Manhattan Love Suicides,Burnt Out Landscapes, Magic Marker,2008,Marc Hogan, 7.3 , ,2008-12-05,http://pitchfork.com/reviews/albums/12476-burnt-out-landscapes/
Various Artists,Kitsuné Maison 6: The Melodic One, Kitsuné,2008,Marc Hogan, 5.9 , ,2008-12-05,http://pitchfork.com/reviews/albums/12489-kitsune-maison-6-the-melodic-one/
Future Clouds & Radar,Peoria, Star Apple Kingdom,2008,Kasia Galazka, 6.9 , ,2008-12-05,http://pitchfork.com/reviews/albums/12478-peoria/
Rivers Cuomo,Alone II: The Home Recordings of Rivers Cuomo, Geffen,2008,Jason Crock, 6.0 , ,2008-12-08,http://pitchfork.com/reviews/albums/12507-alone-ii-the-home-recordings-of-rivers-cuomo/
The Raveonettes,Beauty Dies EP, Vice,2008,D. Shawn Bosler, 7.0 , ,2008-12-04,http://pitchfork.com/reviews/albums/12500-beauty-dies-ep-wishing-you-a-rave-christmas-ep/
Minus the Bear,Acoustics EP, Tigre Blanco,2008,Joe Tangari, 5.2 , ,2008-12-04,http://pitchfork.com/reviews/albums/12485-acoustics-ep/
Ladyhawke,Ladyhawke, Modular,2008,Mike Orme, 6.6 , ,2008-12-04,http://pitchfork.com/reviews/albums/12483-ladyhawke/
Adventure,Adventure, Carpark,2008,Mike Orme, 6.0 , ,2008-12-04,http://pitchfork.com/reviews/albums/12477-adventure/
The Killers,Day & Age, Island,2008,Ryan Dombal, 5.9 , ,2008-12-05,http://pitchfork.com/reviews/albums/12505-day-age/
Fennesz,Black Sea, Touch,2008,Mark Richardson, 8.4 , ,2008-12-03,http://pitchfork.com/reviews/albums/12502-black-sea/
Wintersleep,Welcome to the Night Sky, Labwork,2007,Mia Clarke, 7.0 , ,2008-12-03,http://pitchfork.com/reviews/albums/12472-welcome-to-the-night-sky/
Burning Star Core,Challenger, Hospital Productions,2008,Andrew Gaerig, 7.9 , ,2008-12-03,http://pitchfork.com/reviews/albums/12482-challenger/
Christmas Decorations,Far Flung Hum, Wodger,2008,Marc Masters, 7.5 , ,2008-12-03,http://pitchfork.com/reviews/albums/12471-far-flung-hum/
The Very Best,Esau Mwamwaya and Radioclit are the Very Best, Green Owl / Ghettopop,2008,Scott Plagenhoef, 8.6 , Best New Music ,2008-12-04,http://pitchfork.com/reviews/albums/12503-esau-mwamwaya-and-radioclit-are-the-very-best/
The Last Shadow Puppets,My Mistakes Were Made for You EP, Domino,2008,Marc Hogan, 5.8 , ,2008-12-02,http://pitchfork.com/reviews/albums/12495-my-mistakes-were-made-for-you-ep/
Various Artists,I Love Dubstep, Rinse FM,2008,Nate Patrin, 7.4 , ,2008-12-02,http://pitchfork.com/reviews/albums/12479-i-love-dubstep/
Empire of the Sun,Walking on a Dream, EMI,2008,Mike Orme, 6.4 , ,2008-12-02,http://pitchfork.com/reviews/albums/12484-walking-on-a-dream/
The Pica Beats,Beating Back the Claws of the Cold, Hardly Art,2008,Joshua Klein, 5.7 , ,2008-12-02,http://pitchfork.com/reviews/albums/12473-beating-back-the-claws-of-the-cold/
Feist,The Reminder: Deluxe Edition, Cherrytree,2008,Ryan Dombal, 6.2 , ,2008-12-03,http://pitchfork.com/reviews/albums/12501-the-reminder-deluxe-edition/
The Decemberists,Always a Bridesmaid EP, Capitol,2008,Joshua Love, 7.0 , ,2008-12-01,http://pitchfork.com/reviews/albums/12470-always-a-bridesmaid-ep/
Bohren & Der Club of Gore,Dolores, Ipecac,2008,Mike Powell, 8.0 , ,2008-12-01,http://pitchfork.com/reviews/albums/12448-dolores/
Aterciopelados,Rio, Nacional,2008,Joe Tangari, 7.1 , ,2008-12-01,http://pitchfork.com/reviews/albums/12446-rio/
The Knux,Remind Me in 3 Days, Interscope,2008,Ian Cohen, 6.7 , ,2008-12-01,http://pitchfork.com/reviews/albums/12458-remind-me-in-3-days/
Kanye West,808s & Heartbreak, Roc-A-Fella,2008,Scott Plagenhoef, 7.6 , ,2008-12-02,http://pitchfork.com/reviews/albums/12498-808s-and-heartbreak/
Various Artists,Love Train: The Sound of Philadelphia, Sony,2008,Nate Patrin, 8.7 , ,2008-11-26,http://pitchfork.com/reviews/albums/12455-love-train-the-sound-of-philadelphia/
Wild Beasts,"Limbo, Panto", Sony,2008,Jessica Suarez, 8.2 , ,2008-11-26,http://pitchfork.com/reviews/albums/12450-limbo-panto/
Julian Koster,The Singing Saw at Christmastime, Merge,2008,Amanda Petrusich, 7.0 , ,2008-11-26,http://pitchfork.com/reviews/albums/12463-the-singing-saw-at-christmastime/
Gojira,The Way of All Flesh, Listenable,2008,Cosmo Lee, 6.0 , ,2008-11-26,http://pitchfork.com/reviews/albums/12452-the-way-of-all-flesh/
Guns N' Roses,Chinese Democracy, Black Frog,2008,Ian Cohen, 5.8 , ,2008-12-01,http://pitchfork.com/reviews/albums/12469-chinese-democracy/
Wu-Tang Clan,Wu: The Story of the Wu-Tang Clan, Legacy,2008,Ian Cohen, 7.5 , ,2008-11-25,http://pitchfork.com/reviews/albums/12468-wu-the-story-of-the-wu-tang-clan/
The Gaslight Anthem,The '59 Sound, SideOneDummy,2008,Tom Breihan, 8.6 , ,2008-11-25,http://pitchfork.com/reviews/albums/12454-the-59-sound/
Various Artists,Eccentric Soul: The Young Disciples, Numero Group,2008,Joe Tangari, 8.2 , ,2008-11-25,http://pitchfork.com/reviews/albums/12447-eccentric-soul-the-young-disciples/
Black Moth Super Rainbow,Drippers EP, 70s Gymnastics,2008,Joe Colly, 5.2 , ,2008-11-25,http://pitchfork.com/reviews/albums/12459-drippers-ep/
Death Cab for Cutie,Something About Airplanes, Barsuk,1998,Ian Cohen, 8.1 , ,2008-11-26,http://pitchfork.com/reviews/albums/12466-something-about-airplanes/
The Fireman,Electric Arguments, One Little Indian,2008,Stuart Berman, 7.3 , ,2008-11-24,http://pitchfork.com/reviews/albums/12465-electric-arguments/
Black Milk,Tronic, Fat Beats,2008,Ian Cohen, 7.9 , ,2008-11-24,http://pitchfork.com/reviews/albums/12451-tronic/
Harry Pussy,You'll Never Play This Town Again, Load,2008,Douglas Wolk, 7.2 , ,2008-11-24,http://pitchfork.com/reviews/albums/12449-youll-never-play-this-town-again/
Anathallo,Canopy Glow, Anticon,2008,Ian Cohen, 5.3 , ,2008-11-24,http://pitchfork.com/reviews/albums/12461-canopy-glow/
Coldplay,Prospekt's March EP, Capitol,2008,Ryan Dombal, 6.0 , ,2008-11-25,http://pitchfork.com/reviews/albums/12467-prospekts-march-ep/
Beyoncé,I Am... Sasha Fierce, Columbia,2008,Ryan Dombal, 5.7 , ,2008-11-21,http://pitchfork.com/reviews/albums/12462-i-am-sasha-fierce/
Grace Jones,Hurricane, Wall of Sound,2008,Joshua Klein, 7.5 , ,2008-11-21,http://pitchfork.com/reviews/albums/12453-hurricane/
Wilderness,(k)no(w)here, Jagjaguwar,2008,Amy Granzin, 7.2 , ,2008-11-21,http://pitchfork.com/reviews/albums/12457-knowhere/
Statik Selektah,Stick 2 the Script, Showoff,2008,Tom Breihan, 6.6 , ,2008-11-21,http://pitchfork.com/reviews/albums/12456-stick-2-the-script/
R.E.M.,Murmur [Deluxe Edition], IRS,2008,Stephen M. Deusner, 10.0 , ,2008-11-24,http://pitchfork.com/reviews/albums/12464-murmur-deluxe-edition/
The Lucksmiths,First Frost, Matinee,2008,Marc Hogan, 7.6 , ,2008-11-20,http://pitchfork.com/reviews/albums/12442-first-frost/
Sunn O))),Dømkirke, Southern Lord,2008,Grayson Currin, 7.3 , ,2008-11-20,http://pitchfork.com/reviews/albums/12434-dmkirke/
Adorable,Footnotes 92-94, Cherry Red,2008,Jonathan Garrett, 7.2 , ,2008-11-20,http://pitchfork.com/reviews/albums/12439-footnotes-92-94/
Stereo Image,Stereo Image, Frog Man Jake,2008,Jason Crock, 4.0 , ,2008-11-20,http://pitchfork.com/reviews/albums/12428-stereo-image/
Alexis Taylor,Rubbed Out, Treader,2008,Brian Howe, 6.7 , ,2008-11-21,http://pitchfork.com/reviews/albums/12460-rubbed-out/
Cheap Trick,Budokan!, Epic,1979,Stuart Berman, 6.5 , ,2008-11-19,http://pitchfork.com/reviews/albums/12441-budokan/
Prurient,Arrowhead, Editions Mego,2008,Grayson Currin, 8.8 , ,2008-11-19,http://pitchfork.com/reviews/albums/12427-arrowhead/
Tussle,Cream Cuts, Smalltown Supersound,2008,Adam Moerder, 6.5 , ,2008-11-19,http://pitchfork.com/reviews/albums/12431-cream-cuts/
"Lee ""Scratch"" Perry","Scratch Came, Scratch Saw, Scratch Conquered", Megawave,2008,Nate Patrin, 4.6 , ,2008-11-19,http://pitchfork.com/reviews/albums/12433-scratch-came-scratch-saw-scratch-conquered/
Lil Wayne,Dedication 3, self-released,2008,Tom Breihan, 3.7 , ,2008-11-20,http://pitchfork.com/reviews/albums/12444-dedication-3/
Los Campesinos!,"We Are Beautiful, We Are Doomed", Wichita,2008,Marc Hogan, 8.3 , ,2008-11-18,http://pitchfork.com/reviews/albums/12424-we-are-beautiful-we-are-doomed/
Theo Parrish,Sound Sculptures Volume 1, Sound Signature,2008,Andy Battaglia, 8.6 , ,2008-11-18,http://pitchfork.com/reviews/albums/12425-sound-sculptures-volume-1/
