{'lift':0.0493168, 'drag':0.346857, 'sect0':{'Sweep': 48.82603538609133, 'Span': 3.268728488224802, 'TC': 13.321771106309559, 'RC': 21.692844665672595}, 'sect1':{'Sweep': 39.71808377838783, 'Span': 6.468045609643587, 'TC': 2.696946388732429, 'RC': 11.561150809059342}, 'time':146}
{'lift':0.0348793, 'drag':0.340406, 'sect0':{'Sweep': 48.64637601138195, 'Span': 4.262126047432023, 'TC': 14.665542892055734, 'RC': 19.982446662325536}, 'sect1':{'Sweep': 28.74036856526022, 'Span': 3.4212886699697003, 'TC': 5.610995998440572, 'RC': 11.13346848805946}, 'time':132}
{'lift':0.0328227, 'drag':0.321851, 'sect0':{'Sweep': 45.91206963044185, 'Span': 4.210705499322062, 'TC': 10.162833556698208, 'RC': 18.31040481901164}, 'sect1':{'Sweep': 42.00263078071268, 'Span': 5.472592866632944, 'TC': 2.4759001376373053, 'RC': 8.395578384261865}, 'time':140}
{'lift':0.0775771, 'drag':0.418293, 'sect0':{'Sweep': 56.14924590408758, 'Span': 3.848239554761659, 'TC': 11.286242319426893, 'RC': 20.989650292242544}, 'sect1':{'Sweep': 44.41009191732242, 'Span': 8.047807036388889, 'TC': 4.513251009834597, 'RC': 8.761064859055349}, 'time':159}
{'lift':0.0029014, 'drag':0.259111, 'sect0':{'Sweep': 57.78246436769952, 'Span': 3.30201950756772, 'TC': 14.10512134609231, 'RC': 22.96396285290588}, 'sect1':{'Sweep': 31.7291706616297, 'Span': 3.3696787838627373, 'TC': 0.5473085006633969, 'RC': 12.691390615626254}, 'time':123}
{'lift':0.0563006, 'drag':0.311872, 'sect0':{'Sweep': 52.97197580708407, 'Span': 3.7405063822758513, 'TC': 14.831562194522931, 'RC': 11.56165109405496}, 'sect1':{'Sweep': 37.691185120262546, 'Span': 6.10344843305495, 'TC': 0.7692187381720659, 'RC': 9.766317839501912}, 'time':137}
{'lift':0.0285845, 'drag':0.290959, 'sect0':{'Sweep': 46.355648925528875, 'Span': 4.7646312184048165, 'TC': 4.270816826096778, 'RC': 18.34313382044325}, 'sect1':{'Sweep': 29.605905051932215, 'Span': 8.602754200085243, 'TC': 0.5147116766202273, 'RC': 7.239353247119968}, 'time':138}
{'lift':0.0429014, 'drag':0.38215, 'sect0':{'Sweep': 56.918583331277574, 'Span': 4.4652123490126, 'TC': 7.445273623521922, 'RC': 12.820068595142665}, 'sect1':{'Sweep': 30.62075902547434, 'Span': 8.648435673266295, 'TC': 5.1351587926354325, 'RC': 9.126211312848397}, 'time':163}
{'lift':0.0450302, 'drag':0.397867, 'sect0':{'Sweep': 50.079950039385274, 'Span': 3.490779988508507, 'TC': 10.128952423181566, 'RC': 15.62150033505647}, 'sect1':{'Sweep': 22.61719825299894, 'Span': 8.485349928868157, 'TC': 5.737776960241334, 'RC': 11.088982234657308}, 'time':151}
{'lift':0.0650793, 'drag':0.44363, 'sect0':{'Sweep': 55.790722427219805, 'Span': 4.305149865369221, 'TC': 8.934728896328881, 'RC': 24.832427798368382}, 'sect1':{'Sweep': 42.42045979570314, 'Span': 8.843502745550463, 'TC': 4.2077175611292725, 'RC': 10.749333040504743}, 'time':180}
{'lift':0.0150374, 'drag':0.28264, 'sect0':{'Sweep': 50.555278031815426, 'Span': 4.6632341294160184, 'TC': 7.204584763757619, 'RC': 13.198446533081224}, 'sect1':{'Sweep': 34.3726416052995, 'Span': 6.647543708008101, 'TC': 0.5842805389837724, 'RC': 9.417655005191023}, 'time':132}
{'lift':0.0223518, 'drag':0.282669, 'sect0':{'Sweep': 49.704752573846456, 'Span': 3.0871492371037026, 'TC': 12.964435441707124, 'RC': 20.115638639565894}, 'sect1':{'Sweep': 38.71284442396883, 'Span': 5.088246868786179, 'TC': 2.115696844726923, 'RC': 9.277020873436001}, 'time':132}
{'lift':0.0309277, 'drag':0.27616, 'sect0':{'Sweep': 58.7162700362659, 'Span': 4.002113714942505, 'TC': 9.787412370298085, 'RC': 13.082590985592832}, 'sect1':{'Sweep': 44.48528954379489, 'Span': 5.279010500706335, 'TC': 1.9653867143292718, 'RC': 7.481922977884832}, 'time':125}
{'lift':0.098527, 'drag':0.503854, 'sect0':{'Sweep': 59.54628214767513, 'Span': 3.959395683618518, 'TC': 14.04173211012646, 'RC': 23.98664139496477}, 'sect1':{'Sweep': 40.034191954154636, 'Span': 8.70940501412059, 'TC': 5.552659351147876, 'RC': 13.456025265550405}, 'time':391}
